# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
yong de 	用的	c=6 d=1.00217 t=14497
yong de dao 	用得到	c=1 d=1 t=4300
yong de shi 	用的是	c=1 d=1 t=7893
yong fa 	用法	c=1 d=1 t=3304
yong guo 	用過	c=1 d=1.00576 t=14192
yong hu 	用戶	c=3 d=1.96079 t=7935
yong hu ming 	用戶名	c=2 d=1.3413 t=7595
yong hu ming mi ma 	用戶名密碼	c=4 d=1 t=15161
yong lai 	用來	c=0 d=0.1 t=14919
yong lai zuo shen me 	用來做什麼	c=1 d=1 t=14920
yong le 	永樂	c=1 d=1 t=6391
yong le 	用了	c=1 d=1 t=6392
yong le hao jiu le 	用了好久了	c=1 d=1 t=8155
yong na ge 	用那個	c=1 d=1 t=7035
yong ni zhe ge ba 	用你這個吧	c=1 d=1 t=11794
yong qi lai 	用起來	c=1 d=1 t=8456
yong shen me 	用什麼	c=0 d=0.1 t=9360
yong shen me chong 	用什麼充	c=1 d=1 t=9361
yong shen me yang 	用什麼樣	c=1 d=1 t=16092
yong tu 	用途	c=3 d=1.9802 t=14923
yong tu de 	用途的	c=1 d=1 t=10923
yong xin 	用心	c=1 d=1 t=6060
yong yi xie 	用一些	c=0 d=0.1 t=11871
yong yi xie ci 	用一些詞	c=1 d=1 t=11872
yong ying yu 	用英語	c=1 d=1 t=9115
yong yu 	用於	c=1 d=1 t=15597
yong yu 	用語	c=1 d=1 t=15596
yong yuan 	永遠	c=0 d=0.1 t=11082
yong zhe xie 	用這些	c=1 d=1 t=9256
yong zi ji 	用自己	c=1 d=1 t=1205
you 	又	c=14 d=1.02037 t=15230
you 	有	c=31 d=1.11705 t=16283
you 	油	c=0 d=0.1 t=13085
you 	由	c=1 d=1 t=8403
you a 	有啊	c=1 d=1 t=6725
you ban fa 	有辦法	c=1 d=1 t=2340
you bei 	又被	c=1 d=1 t=15311
you ben shi 	有本事	c=1 d=1 t=3064
you bi yao 	有必要	c=2 d=2.0346 t=13943
you bi yao me 	有必要麼	c=1 d=1 t=13939
you bian le 	又變了	c=1 d=1 t=9382
you bie 	有別	c=0 d=0.1 t=1685
you bie de 	有別的	c=1 d=1 t=1686
you bu shi 	又不是	c=3 d=0.1 t=6190
you bu shi mai bu qi 	又不是買不起	c=1 d=1 t=6191
you chi 	又喫	c=1 d=1 t=11469
you chi na ge 	又喫那個	c=1 d=1 t=7907
you chi xu xing 	有持續性	c=1 d=1 t=9401
you chu xian 	又出現	c=1 d=1 t=4627
you ci 	有次	c=1 d=1 t=4191
you dao li 	有道理	c=1 d=1 t=15328
you de 	有的	c=3 d=1 t=14966
you de chi 	有的喫	c=1 d=1 t=5000
you de hua 	有的話	c=2 d=1.00024 t=8352
you de zhuan 	有得賺	c=1 d=1 t=4538
you dian 	有點	c=3 d=0.1 t=13535
you dian chang shi 	有點常識	c=1 d=1 t=463
you dian hai pa 	有點害怕	c=1 d=1 t=2319
you dian hen 	有點狠	c=1 d=1 t=13536
you dian kun huo 	有點困惑	c=1 d=1 t=8614
you dian la 	有點辣	c=1 d=1 t=612
you dian man 	有點慢	c=0 d=0.1 t=7499
you dian qi guai 	有點奇怪	c=1 d=1 t=10975
you dian shi 	有點事	c=1 d=1 t=1648
you dian suan 	有點酸	c=1 d=1 t=7231
you dian xiao 	有點小	c=2 d=1.99005 t=13644
you dian yuan 	有點遠	c=1 d=1 t=6359
you duo 	有多	c=0 d=0.1 t=10210
you duo gui 	有多貴	c=1 d=1 t=14450
you duo xiang 	有多香	c=1 d=1 t=10211
you er yuan 	幼兒園	c=0 d=0.1 t=9805
you feng xian 	有風險	c=1 d=1 t=3419
you gao tou 	有搞頭	c=1 d=0.157407 t=6228
you gao tou me 	有搞頭麼	c=1 d=1 t=6118
you gao tou mei 	有搞頭沒	c=1 d=1 t=6229
you ge 	有個	c=7 d=1.0022 t=16137
you ge ren 	有個人	c=1 d=1 t=4412
you ge sha wen ti 	有個啥問題	c=1 d=1 t=4364
you ge tong shi 	有個同事	c=1 d=1 t=1485
you ge xue di 	有個學弟	c=1 d=1 t=796
you gei 	又給	c=0 d=0.1 t=15317
you gei sheng ji le 	又給升級了	c=1 d=1 t=15318
you gong ju 	有工具	c=1 d=1 t=2339
you gou 	有夠	c=1 d=1 t=357
you guan 	有關	c=4 d=0.155855 t=13813
you guan 	油管	c=1 d=1 t=12006
you guan de 	有關的	c=1 d=1 t=13831
you guan wai 	有關外	c=1 d=1 t=670
you guan xi 	有關係	c=2 d=1.59156 t=13239
you guang gao 	有廣告	c=2 d=1.75093 t=9703
you hai 	有害	c=0 d=0.195123 t=10369
you hai me 	有害麼	c=1 d=1 t=10370
you hao ji ge 	有好幾個	c=1 d=1 t=10067
you hao ji tai she bei 	有好幾臺設備	c=1 d=1 t=12934
you huai de di fang 	有壞的地方	c=1 d=1 t=2510
you hui lai le 	又回來了	c=1 d=1 t=9747
you ji 	有幾	c=0 d=0.1 t=6774
you ji 	郵寄	c=0 d=0.1 t=15145
you ji di zhi 	郵寄地址	c=2 d=1.70822 t=15215
you ji dun 	有幾頓	c=1 d=1 t=6775
you ji ge 	有幾個	c=2 d=1 t=7020
you ji tai 	有幾臺	c=2 d=1.9802 t=6925
you jia 	有假	c=1 d=1 t=3483
you jian 	右鍵	c=1 d=1 t=4896
you jian 	郵件	c=8 d=1.00078 t=16147
you jian li 	郵件裏	c=1 d=1 t=7331
you ka zhu le 	又卡住了	c=1 d=1 t=3342
you ke neng 	有可能	c=3 d=1 t=15720
you kong 	有空	c=0 d=0.1 t=14754
you kong ke yi 	有空可以	c=1 d=1 t=7611
you kong mei 	有空沒	c=1 d=1 t=14755
you liang ci 	有兩次	c=1 d=1 t=13055
you liang ge 	有兩個	c=1 d=0.1 t=11641
you me 	有麼	c=2 d=1 t=9963
you mei you 	有沒有	c=30 d=1.44282 t=13924
you mei you guan xi 	有沒有關係	c=1 d=1 t=1666
you mei you huo dong 	有沒有活動	c=1 d=1 t=13542
you mei you ji hui 	有沒有機會	c=1 d=1 t=12104
you mei you ren zhi dao 	有沒有人知道	c=1 d=1 t=9220
you mei you sha 	有沒有啥	c=1 d=1 t=13729
you mei you shen me 	有沒有什麼	c=1 d=1 t=4337
you mei you zhi 	有沒有之	c=1 d=1 t=3774
you na ge 	有那個	c=1 d=1 t=11360
you na xie 	有哪些	c=3 d=1.00235 t=15623
you na xie sao cao zuo 	有哪些騷操作	c=1 d=1 t=14874
you nei tui 	有內推	c=1 d=1 t=846
you niao le 	又尿了	c=1 d=1 t=7389
you pi 	有屁	c=1 d=1 t=5397
you qi 	尤其	c=1 d=1 t=3301
you qi 	油漆	c=1 d=1 t=3300
you qi shi 	尤其是	c=1 d=1 t=4592
you qian 	有錢	c=1 d=0.1 t=13159
you qing lian jie 	友情鏈接	c=1 d=1 t=3767
you qu 	有趣	c=0 d=0.1 t=15359
you qu de fu wu 	有趣的服務	c=1 d=1 t=15360
you quan li 	有權力	c=1 d=1 t=10471
you re mi pi 	有熱米皮	c=1 d=1 t=2384
you ren 	有人	c=7 d=1.04551 t=15330
you ren zhi dao me 	有人知道麼	c=1 d=1 t=854
you san si ge 	有三四個	c=1 d=1 t=16258
you sha 	有啥	c=1 d=0.105259 t=13728
you sha an pai mei 	有啥安排沒	c=1 d=1 t=1467
you sha bu gan 	有啥不敢	c=1 d=1 t=9890
you sha chi de mei 	有啥喫的沒	c=1 d=1 t=5089
you sha gan jue 	有啥感覺	c=1 d=1 t=2546
you sha hao 	有啥好	c=1 d=1 t=9409
you sha hao bu hao 	有啥好不好	c=1 d=1 t=8044
you sha wen ti 	有啥問題	c=1 d=1 t=15726
you sha yong 	有啥用	c=1 d=1 t=7747
you shang jiao 	右上角	c=2 d=1 t=16136
you shen me 	有什麼	c=19 d=1.01396 t=16282
you shen me cuo wu 	有什麼錯誤	c=1 d=1 t=1757
you shen me qu bie 	有什麼區別	c=1 d=1 t=10853
you shen me shi 	有什麼事	c=1 d=1 t=9816
you shen me wen ti 	有什麼問題	c=2 d=1 t=14887
you shi 	優勢	c=2 d=1.8311 t=10772
you shi 	又是	c=1 d=1 t=4004
you shi 	有事	c=0 d=0.1 t=13687
you shi hou 	有時候	c=2 d=1 t=11369
you shi jian 	有時間	c=1 d=1 t=5972
you shi pin 	有視頻	c=1 d=1 t=11694
you shi qing jiao 	有事請教	c=1 d=1 t=13688
you shuo ming 	有說明	c=1 d=1 t=5724
you suo qu bie de 	有所區別的	c=1 d=1 t=10875
you tai xin 	有胎心	c=1 d=1 t=4294
you te shu 	有特殊	c=2 d=1 t=14859
you tiao jian 	有條件	c=0 d=0.1 t=12451
you tiao jian de hua 	有條件的話	c=1 d=1 t=12452
you wa le 	有娃了	c=1 d=1 t=9941
you wei chai le 	有濰柴了	c=1 d=1 t=10165
you wei zhi de hua 	有位置的話	c=1 d=1 t=1700
you wen ti 	有問題	c=12 d=1.0035 t=14941
you wen ti de 	有問題的	c=1 d=1 t=6632
you wen ti de hua 	有問題的話	c=1 d=1 t=7104
you wen ti le 	有問題了	c=2 d=1.8825 t=5558
you wo de gang wei 	有我的崗位	c=1 d=1 t=13437
you xian 	優先	c=2 d=1 t=2993
you xian 	有限	c=1 d=1 t=147
you xian ji 	優先級	c=1 d=1 t=14708
you xiang 	郵箱	c=14 d=1.87106 t=16186
you xiang chi de 	有想喫的	c=1 d=0.100001 t=5623
you xiang chi de cai 	有想喫的菜	c=1 d=1 t=5624
you xiang chi de me 	有想喫的麼	c=1 d=1 t=3048
you xiao 	有效	c=1 d=1 t=10558
you xiao qi 	有效期	c=1 d=1 t=10553
you xie 	有些	c=5 d=1 t=16251
you xie ju 	有些局	c=1 d=1 t=9644
you xie qing kuang 	有些情況	c=1 d=1 t=12525
you xie shi ke yi 	有些是可以	c=1 d=1 t=9649
you xie zhi biao 	有些指標	c=1 d=1 t=6131
you xin de 	有新的	c=1 d=1 t=7824
you xing qu 	有興趣	c=1 d=1 t=5698
you xiu 	優秀	c=1 d=1 t=2101
you xu qiu 	有需求	c=1 d=1 t=1703
you xu qiu de hua 	有需求的話	c=1 d=1 t=5325
you yao 	又要	c=0 d=0.1 t=251
you yao chong qi 	有要重啓	c=1 d=1 t=379
you yao qing jiao le 	又要請教了	c=1 d=1 t=252
you yi ben shu 	有一本書	c=1 d=1 t=7600
you yi bu fen 	有一部分	c=1 d=1 t=14457
you yi dian 	有一點	c=1 d=1 t=1119
you yi duan shi jian 	有一段時間	c=1 d=1 t=12882
you yi ge 	又一個	c=2 d=1.01795 t=828
you yi ge 	有一個	c=3 d=1 t=14890
you yi jia 	有一家	c=1 d=1 t=9308
you yi tiao 	有一條	c=1 d=1 t=5156
you yi xie 	有一些	c=1 d=1 t=15923
you yin xiang 	有印象	c=1 d=1 t=10445
you yin xiang me 	有印象麼	c=1 d=1 t=2402
you ying xiang me 	有影響麼	c=1 d=1 t=3340
you yong 	有用	c=0 d=0.1 t=8943
you yong de 	有用的	c=1 d=1 t=3758
you yong jiu xing 	有用就行	c=1 d=1 t=8944
you you shi qing 	又有事情	c=1 d=1 t=14478
you you wen ti le 	又有問題了	c=1 d=1 t=7385
you yuan 	有緣	c=1 d=1 t=12796
you zhe 	有這	c=0 d=0.1 t=10809
you zhe gong fu 	有這工夫	c=1 d=1 t=10810
you zhi 	優質	c=1 d=1.09656 t=6218
you zhi tan shui 	優質碳水	c=1 d=1 t=6212
you zhi xing 	有執行	c=1 d=1 t=10629
you zhu yu 	有助於	c=1 d=1 t=9770
you zhuan 	又轉	c=1 d=1 t=10415
you zuo bu hao 	又做不好	c=1 d=1 t=7746
yu 	於	c=4 d=1.23488 t=12003
yu 	與	c=2 d=1.27649 t=15836
yu 	雨	c=0 d=0.1 t=1319
yu 	餘	c=1 d=1 t=15997
yu 	魚	c=0 d=0.101025 t=5357
yu ce 	預測	c=1 d=1 t=7691
yu di 	餘地	c=0 d=0.1 t=1436
yu er 	育兒	c=0 d=0.1 t=13819
yu er jia 	育兒假	c=4 d=1.92774 t=9959
yu er sao 	育兒嫂	c=1 d=0.736745 t=13980
yu fu wu shang 	與服務商	c=1 d=1 t=15821
yu hui zhe 	與會者	c=1 d=1 t=7461
yu jian 	遇見	c=1 d=1 t=11147
yu jing 	預警	c=0 d=0.1 t=6149
yu ju 	語句	c=1 d=1 t=10598
yu ku 	魚酷	c=1 d=1 t=4444
yu lu 	語錄	c=1 d=1 t=11717
yu mi 	玉米	c=1 d=0.100529 t=4566
yu ming 	域名	c=11 d=2.68322 t=15912
yu ming a 	域名啊	c=1 d=1 t=4826
yu ming dou bian le 	域名都變了	c=1 d=1 t=9122
yu ming shen qing 	域名申請	c=1 d=1 t=9862
yu shi 	喻示	c=1 d=1 t=8681
yu shi 	於是	c=1 d=1 t=8682
yu wo 	與我	c=0 d=0.1 t=10100
yu xia de 	雨下得	c=0 d=0.1 t=1215
yu xia de hen da 	雨下得很大	c=1 d=1 t=1216
yu yan 	語言	c=1 d=0.1 t=12417
yu yong ji 	於永基	c=2 d=1 t=8053
yu zhong bu tong 	與衆不同	c=1 d=1 t=10091
yu zong 	於總	c=8 d=1.04188 t=12641
yuan 	元	c=4 d=1 t=16019
yuan 	員	c=0 d=0.1 t=10567
yuan cheng 	遠程	c=3 d=2.18007 t=15769
yuan dian 	遠點	c=0 d=0.1 t=3416
yuan dong 	遠東	c=3 d=2.71189 t=841
yuan gong fu li 	員工福利	c=1 d=1 t=10040
yuan lai 	原來	c=0 d=0.1 t=14137
yuan lai na ge 	原來那個	c=1 d=1 t=14138
yuan li 	原理	c=4 d=1.99501 t=15765
yuan li bu shu 	原理不熟	c=1 d=1 t=13630
yuan ni 	怨你	c=0 d=0.1 t=1364
yuan pan 	原判	c=0 d=0.1 t=9426
yuan pan 	原盤	c=1 d=1 t=9428
yuan pan me 	原判麼	c=1 d=1 t=9427
yuan qu 	園區	c=0 d=0.1 t=515
yuan qu li 	園區裏	c=1 d=1 t=516
yuan shi shu ju 	原始數據	c=1 d=1 t=5073
yuan si 	冤死	c=0 d=0.1 t=1347
yuan wei 	原味	c=0 d=0.1 t=12161
yuan wei de 	原味的	c=1 d=1 t=12162
yuan wen jian 	原文件	c=1 d=1 t=14692
yuan xiong 	元兇	c=2 d=1.90937 t=10119
yuan yin 	原因	c=2 d=1 t=15729
yuan yu 	源於	c=0 d=0.1 t=3029
yuan yuan 	遠遠	c=1 d=1 t=2563
yue 	月	c=6 d=1.94405 t=15198
yue bing 	月餅	c=1 d=1.18325 t=5834
yue cheng 	月城	c=1 d=1 t=15441
yue die yue mai 	越跌越買	c=1 d=1 t=13163
yue fen 	月份	c=1 d=1 t=8818
yue fu 	月付	c=2 d=1 t=9759
yue nan 	越南	c=1 d=1 t=2441
yue sao 	月嫂	c=3 d=1.37185 t=14055
yue yue 	月月	c=0 d=0.1 t=4265
yue yue jie 	月月姐	c=1 d=1 t=4266
yue zi 	月子	c=6 d=3.95732 t=13994
yue zi hui suo 	月子會所	c=1 d=1 t=13704
yue zi zhong xin 	月子中心	c=4 d=2.54162 t=14001
yun 	勻	c=0 d=0.1 t=1306
yun 	暈	c=0 d=0.1 t=14986
yun 	雲	c=1 d=1.24305 t=15827
yun che 	暈車	c=0 d=0.1 t=9886
yun dong 	運動	c=1 d=0.1 t=9773
yun dong qi lai 	運動起來	c=1 d=1 t=4394
yun dong xia 	運動下	c=1 d=1 t=9774
yun fei 	運費	c=1 d=1 t=16159
yun fu 	孕婦	c=0 d=0.1 t=14058
yun fu wu qi 	雲服務器	c=3 d=1.96813 t=15919
yun hui lai 	勻回來	c=1 d=1 t=1307
yun pan 	雲盤	c=2 d=1.00376 t=16126
yun qi 	運氣	c=0 d=0.102055 t=12801
yun qi ba 	運氣吧	c=1 d=1 t=12025
yun tu 	孕吐	c=1 d=1 t=4330
yun wei 	運維	c=5 d=1.02215 t=14180
yun xu 	允許	c=1 d=1.0016 t=2141
yun zhu ji 	雲主機	c=3 d=2.32795 t=15804
za 	咋	c=0 d=0.1 t=11385
za 	雜	c=0 d=0.1 t=6695
za hui shi 	咋回事	c=4 d=1 t=12239
za hui shi er 	咋回事兒	c=1 d=1 t=10022
za le 	咋了	c=3 d=1 t=11711
za le 	砸了	c=0 d=0.1 t=6319
za luan 	雜亂	c=0 d=0.1 t=16142
za qing 	咋清	c=1 d=1 t=15660
za zheng 	咋整	c=0 d=0.10001 t=11575
zai 	再	c=9 d=1.0109 t=15686
zai 	在	c=51 d=2.43437 t=16289
zai bang mang fa yi xia 	再幫忙發一下	c=1 d=1 t=9516
zai bei jing 	在北京	c=3 d=2.44766 t=2049
zai bu 	在不	c=1 d=1 t=13687
zai cha 	再查	c=0 d=0.1 t=14245
zai cha 	在查	c=1 d=1 t=13553
zai cha jian 	在插件	c=1 d=1 t=8698
zai chi 	再喫	c=1 d=0.1 t=12809
zai chu qu 	再出去	c=1 d=1 t=9768
zai da 	在大	c=0 d=0.1 t=2032
zai da xue hao 	在大學號	c=1 d=1 t=2033
zai dan du 	在單獨	c=1 d=1 t=14630
zai deng 	再登	c=1 d=1 t=9628
zai deng deng 	再等等	c=0 d=0.1 t=12927
zai deng fan kui 	在等反饋	c=1 d=1 t=14667
zai dian 	再點	c=1 d=1 t=4480
zai dian nao qian mian 	在電腦前面	c=1 d=1 t=2729
zai dong 	再動	c=0 d=0.1 t=10454
zai dong le 	再動了	c=1 d=1 t=10455
zai gai 	再改	c=1 d=1 t=14812
zai gai yi xia 	再改一下	c=1 d=1.01851 t=113
zai gen 	再跟	c=0 d=0.1 t=5255
zai gen 	在跟	c=1 d=1 t=4065
zai gen ta 	再跟他	c=1 d=1 t=5256
zai gong si 	在公司	c=1 d=1 t=6008
zai hu ni 	在乎你	c=1 d=1.04607 t=2105
zai hu ni de hua 	在乎你的話	c=1 d=1 t=1951
zai jia 	再加	c=1 d=1 t=2361
zai jia 	在家	c=3 d=1.06822 t=11829
zai jia kan wa 	在家看娃	c=1 d=1 t=6403
zai jie 	再接	c=0 d=0.1 t=4205
zai jing dong yun 	在京東雲	c=1 d=1 t=15834
zai kai 	再開	c=1 d=1 t=14917
zai kai fa 	在開發	c=0 d=0.1 t=10528
zai kai fa shang na de hua 	在開發商那的話	c=1 d=1 t=10529
zai kan 	再看	c=0 d=0.1 t=9731
zai kan 	在看	c=3 d=1.00667 t=3138
zai kan kan 	再看看	c=1 d=1 t=11482
zai kan ne 	在看呢	c=1 d=1 t=15613
zai le 	在了	c=1 d=1 t=10395
zai ling 	再領	c=1 d=1 t=6007
zai lu shang chi 	在路上齒	c=1 d=1 t=5702
zai mai 	再買	c=0 d=0.1 t=5619
zai mai 	再賣	c=1 d=1 t=14333
zai mai dian 	再買點	c=1 d=0.1 t=13085
zai mai dian sha 	再買點啥	c=1 d=1 t=7910
zai mai dian you 	再買點油	c=1 d=1 t=13086
zai me 	在麼	c=2 d=1.00667 t=11744
zai na 	在哪	c=4 d=1.00116 t=11520
zai na 	在那	c=1 d=1 t=6055
zai na er 	在哪兒	c=1 d=1 t=1880
zai na ge 	在哪個	c=1 d=1 t=4218
zai na li 	在哪裏	c=2 d=1.00085 t=10310
zai na li ban 	在哪裏辦	c=1 d=1 t=9013
zai nong 	在弄	c=2 d=0.1 t=16110
zai qun li 	在羣裏	c=2 d=1 t=12283
zai shan dong 	在山東	c=1 d=1 t=1895
zai shi 	再試	c=1 d=1 t=15413
zai shi shi 	再試試	c=4 d=1 t=14897
zai shi yan shi 	在實驗室	c=1 d=1 t=2174
zai shuo 	再說	c=4 d=0.382239 t=14151
zai shuo ba 	再說吧	c=2 d=1.00026 t=4016
zai shuo shi 	在說是	c=1 d=1 t=11112
zai tao lun tao lun 	在討論討論	c=1 d=1 t=10915
zai ti 	再剃	c=1 d=1 t=5903
zai ti gong 	再提供	c=1 d=1 t=16072
zai wai mian 	在外面	c=1 d=1 t=9302
zai wang shang zou 	再往上走	c=1 d=1 t=4235
zai wen 	再問	c=2 d=1.84789 t=14113
zai wen 	在問	c=1 d=1 t=1470
zai wen ni 	再問你	c=1 d=1 t=958
zai wo na ge 	在我那個	c=1 d=1 t=7465
zai xian 	在線	c=1 d=1 t=6650
zai xiu 	在修	c=1 d=1 t=3917
zai xiu jia 	在休假	c=1 d=1 t=14665
zai yao 	再要	c=0 d=0.1 t=4262
zai yi 	在意	c=1 d=1 t=6918
zai yi ge 	在一個	c=1 d=1 t=7639
zai yi tian 	在益田	c=1 d=1 t=5577
zai yu 	在於	c=0 d=0.1 t=3903
zai zhe 	在這	c=1 d=1 t=2396
zai zhe fang mian 	在這方面	c=1 d=1 t=13242
zai zhong guo 	在中國	c=1 d=1 t=3092
zai zhuang 	再裝	c=0 d=0.1 t=121
zai zhuang yi xia 	再裝一下	c=1 d=1 t=122
zai zuo 	再做	c=0 d=0.1 t=9463
zai zuo 	在做	c=1 d=1 t=296
zai zuo wei shang 	在座位上	c=1 d=1 t=13565
zai zuo zhong 	在做中	c=1 d=1 t=1746
zan 	咱	c=1 d=0.171535 t=12454
zan 	攢	c=0 d=0.1 t=11451
zan 	暫	c=0 d=0.1 t=11335
zan cheng 	贊成	c=1 d=1 t=3015
zan dou zhe me da le 	咱都這麼大了	c=1 d=1 t=10187
zan hai mei tong zhi ne 	咱還沒通知呢	c=1 d=1 t=7739
zan jiu 	咱就	c=1 d=1 t=2350
zan lai 	咱來	c=0 d=0.1 t=14390
zan lia 	咱倆	c=1 d=1 t=5813
zan liang 	咱倆	c=3 d=1 t=12502
zan men 	咱們	c=19 d=1.00765 t=14858
zan men qu dian li chi 	咱們去店裏喫	c=1 d=1 t=4859
zan men qu kan 	咱們去看	c=1 d=1 t=5750
zan men yong 	咱們用	c=1 d=1 t=5544
zan men zai gai 	咱們再改	c=1 d=1 t=5326
zan na fang zi 	咱那房子	c=1 d=1 t=2714
zan neng you ban fa 	咱能有辦法	c=1 d=1 t=12388
zan qi lai le 	攢起來了	c=1 d=1 t=11452
zan qing yi tian 	暫請一天	c=2 d=1.91393 t=11354
zan shi 	暫時	c=2 d=1 t=14620
zan shi mei you 	暫時沒有	c=1 d=1 t=4710
zan su she 	咱宿舍	c=1 d=1 t=12455
zan ting 	暫停	c=1 d=1 t=12090
zan ye 	咱也	c=0 d=0.100006 t=6339
zan ye bu kan 	咱也不看	c=1 d=1 t=2482
zan ye bu tai dong 	咱也不太懂	c=1 d=1 t=4380
zan ye ke yi mai 	咱也可以買	c=1 d=1 t=6340
zan ye mai dian 	咱也買點	c=1 d=1 t=3846
zan zhe 	咱這	c=1 d=0.100043 t=15964
zan zhe 	贊者	c=1 d=1 t=5690
zan zhe fang zi 	咱這房子	c=1 d=1 t=14416
zao 	早	c=0 d=0.1 t=6495
zao che 	造車	c=1 d=1 t=10171
zao cheng 	造成	c=1 d=1 t=271
zao dian 	早點	c=2 d=1.46301 t=6175
zao dian hui 	早點回	c=1 d=1 t=1019
zao dian shui 	早點睡	c=1 d=1 t=5
zao dian xia ban le 	早點下班了	c=1 d=1 t=2409
zao dian zou 	早點走	c=1 d=1 t=1224
zao gai 	早該	c=0 d=0.1 t=5953
zao gai zhe yang 	早該這樣	c=1 d=1 t=5954
zao jiu 	早就	c=0 d=0.1 t=8318
zao jiu gai pao le 	早就該跑了	c=1 d=1 t=6496
zao jiu you xin li zhun bei le 	早就有心理準備了	c=1 d=1 t=8319
zao ri kang fu 	早日康復	c=1 d=1 t=2247
zao shang 	早上	c=3 d=1.23167 t=12910
zao shang chi le yi ge 	早上喫了一個	c=1 d=1 t=7230
zao sheng gui zi 	早生貴子	c=1 d=1 t=9025
zao wan 	早晚	c=0 d=0.1 t=12920
zao xin 	糟心	c=1 d=1 t=10517
zao zao 	早早	c=0 d=0.1 t=11033
zao zou 	早走	c=1 d=1 t=11247
zao zou yi hui 	早走一會	c=1 d=1 t=981
ze 	則	c=0 d=0.1 t=9866
zen 	怎	c=1 d=1 t=7319
zen me 	怎麼	c=17 d=0.103577 t=15698
zen me ban 	怎麼辦	c=2 d=1 t=15986
zen me bao zheng 	怎麼保證	c=1 d=1 t=7320
zen me biao da 	怎麼表達	c=1 d=1 t=9116
zen me bu yong 	怎麼不用	c=1 d=1 t=6558
zen me cao zuo 	怎麼操作	c=1 d=1.07045 t=6530
zen me chi 	怎麼喫	c=2 d=0.294952 t=9295
zen me chong zhi 	怎麼充值	c=1 d=1 t=621
zen me chu li 	怎麼處理	c=1 d=1 t=16226
zen me chuang jian 	怎麼創建	c=1 d=1 t=5142
zen me da kai 	怎麼打開	c=1 d=1 t=4883
zen me dei 	怎麼得	c=1 d=1 t=1871
zen me fen xi 	怎麼分析	c=1 d=1 t=7282
zen me gai 	怎麼改	c=1 d=1 t=287
zen me hai you 	怎麼還有	c=1 d=1 t=2469
zen me hui 	怎麼回	c=1 d=1 t=1232
zen me hui 	怎麼會	c=0 d=0.1 t=9986
zen me hui fu shu ju 	怎麼回覆數據	c=1 d=1 t=26
zen me hui shi 	怎麼回事	c=3 d=1 t=12439
zen me hui wang 	怎麼會忘	c=1 d=1 t=9987
zen me kan 	怎麼看	c=1 d=1 t=15701
zen me ke neng 	怎麼可能	c=1 d=0.1 t=12555
zen me ke yi 	怎麼可以	c=1 d=1 t=15914
zen me le 	怎麼了	c=7 d=1.00002 t=13942
zen me li jie 	怎麼理解	c=1 d=1 t=11898
zen me lian 	怎麼連	c=1 d=1 t=9191
zen me nong 	怎麼弄	c=1 d=0.1 t=13651
zen me nong ba 	怎麼弄吧	c=1 d=1 t=13652
zen me nong de 	怎麼弄的	c=1 d=1 t=5410
zen me qu 	怎麼去	c=1 d=1 t=15264
zen me shang 	怎麼上	c=1 d=1 t=15699
zen me shi xian 	怎麼實現	c=1 d=1 t=8201
zen me shuo 	怎麼說	c=4 d=1 t=14328
zen me tou 	怎麼投	c=1 d=1 t=11053
zen me xia bu dong 	怎麼下不動	c=1 d=1 t=6977
zen me xie 	怎麼寫	c=1 d=1 t=10560
zen me yang 	怎麼樣	c=16 d=1.00136 t=15184
zen me yang ne 	怎麼樣呢	c=1 d=1 t=9921
zen me yong 	怎麼用	c=4 d=1.04929 t=15760
zen me zhao 	怎麼找	c=0 d=0.116203 t=14055
zen me zhao de 	怎麼找的	c=1 d=1 t=13692
zen me zhao yue sao 	怎麼找月嫂	c=1 d=1 t=14056
zen me zuo 	怎麼做	c=2 d=1.10861 t=12311
zen me zuo me 	怎麼做麼	c=1 d=1 t=8884
zeng jia 	增加	c=1 d=1.09851 t=9164
zeng jia de kuai 	增加得快	c=2 d=1.9802 t=3766
zeng jia le 	增加了	c=1 d=1 t=10457
zeng shi qiang 	曾仕強	c=2 d=1.99501 t=13453
zha 	炸	c=0 d=0.1 t=2807
zha bu liao 	炸不了	c=1 d=1 t=2808
zha dian 	炸點	c=1 d=1 t=13088
zhai ban 	寨班	c=1 d=1 t=14622
zhan 	佔	c=1 d=1.09704 t=7856
zhan 	站	c=6 d=1 t=11599
zhan bian 	沾邊	c=1 d=1 t=709
zhan dian 	沾點	c=1 d=0.1 t=10069
zhan dian bian 	沾點邊	c=1 d=1 t=10070
zhan duo da kong jian 	佔多大空間	c=2 d=1.98511 t=7854
zhan yang 	瞻仰	c=0 d=0.1 t=5456
zhan yang yi xia 	瞻仰一下	c=1 d=1 t=5457
zhan yi zhan 	站一站	c=1 d=1 t=4348
zhan yong 	佔用	c=2 d=1 t=16189
zhan zhan 	站站	c=3 d=1.39653 t=7619
zhang 	帳	c=0 d=0.1 t=15205
zhang 	張	c=1 d=1 t=8359
zhang 	漲	c=0 d=0.1 t=12709
zhang 	脹	c=1 d=1 t=978
zhang ba 	丈八	c=1 d=0.192774 t=15287
